name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Casa Del Gelato,"Desserts, Ice Cream",4.2,-37.80187088,144.9665767,Desserts,normal,"163 Lygon Street, Carlton, Melbourne",$7.50 ,Casa Del Gelato
Ben & Jerry's,"Desserts, Ice Cream",3.9,-37.81651226,144.9667802,Desserts,normal,"55 Swanston Street, CBD, Melbourne",$7.50 ,Ben & Jerry's
Adozen Adozen,"Bakery, Desserts, Japanese",3.9,-37.80436156,144.9626563,Desserts,normal,"188 Queensberry Street, Carlton, Melbourne",$10.00 ,Adozen Adozen
7 Apples Gelato,"Desserts, Ice Cream",4,-37.81229529,144.9641979,Desserts,normal,"Emporium Melbourne, Level 3, 287 Lonsdale Street, CBD, Melbourne",$7.50 ,7 Apples Gelato
Axil Coffee Roasters,"Coffee and Tea, Desserts",3.9,-37.81510583,144.9715911,Desserts,normal,"76 Flinders Lane, CBD, Melbourne",$7.50 ,Axil Coffee Roasters
Damon Bradley,"Desserts, Coffee and Tea, Cafe Food",3.4,-37.82036376,144.9661707,Desserts,normal,"Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne",$25.00 ,Damon Bradley
Sensory Lab - Bourke Street,"Coffee and Tea, Sandwich, Desserts",3.4,-37.81339822,144.9644994,Desserts,normal,"David Jones, Level 1, 310 Bourke Street, CBD, Melbourne",$15.00 ,Sensory Lab - Bourke Street
The Little Royal,Desserts,4,-37.81460735,144.9641322,Desserts,normal,"Royal Arcade, 335 Bourke Street, CBD, Melbourne",$7.50 ,The Little Royal
Sofi's Lounge,"Desserts, Coffee and Tea",3.6,-37.81425428,144.972948,Desserts,normal,"Sofitel Melbourne On Collins, Level 1, 25 Collins Street, CBD, Melbourne",$50.00 ,Sofi's Lounge
Tmix,"Bubble Tea, Desserts",3.7,-37.81275484,144.9638711,Desserts,normal,"Emporium Melbourne, Level 3, 287 Lonsdale Street, CBD, Melbourne",$12.50 ,Tmix
Gelatissimo Carlton,"Desserts, Ice Cream",4.2,-37.80101733,144.9667045,Desserts,normal,"197 Lygon Street, Carlton, Melbourne",$10.00 ,Gelatissimo Carlton
