name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
Massi,Italian,4.1,-37.81638433,144.9599192,Italian,normal,"445 Little Collins Street, CBD, Melbourne",$50.00
Pentolina,"Italian, Australian",4.1,-37.81586997,144.9623995,Italian,normal,"Shop 2, 377 Little Collins Street, CBD, Melbourne, Melbourne",$70.00
The Mess Hall,Italian,4.2,-37.81180553,144.9717326,Italian,normal,"51 Bourke Street, CBD, Melbourne",$42.50
Grossi - Cellar Bar,Italian,4.2,-37.81190194,144.9709524,Italian,normal,"80 Bourke Street, CBD, Melbourne",$45.00
Papa Gino's,"Italian, Pizza",4.2,-37.800239,144.966912,Italian,normal,"221 Lygon Street, Carlton, Melbourne",$50.00
Tutto Bene,Italian,4.1,-37.82031662,144.9660379,Italian,normal,"Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne",$50.00
Trattoria Emilia,Italian,3.9,-37.81542102,144.9627616,Italian,normal,"360 Little Collins Street, CBD, Melbourne",$60.00
SPQR Pizzeria,"Italian, Pizza",4.2,-37.81106652,144.9713615,Italian,normal,"26 Liverpool Street, CBD, Melbourne",$40.00
Fatto Bar & Cantina,"Italian, Pizza, Bar Food",4,-37.81996993,144.9681136,Italian,normal,"Hamer Hall, River Terrace, 100 St Kilda Road, Southbank, Melbourne",$45.00
Pink. The Restaurant,Italian,2.1,-37.81406967,144.9657835,Italian,normal,"Level 1, 157 Swanston Street, CBD, Melbourne",$60.00
Thirty Eight Chairs,Italian,4.4,-37.84110314,144.9947855,Italian,normal,"4A Bond Street, South Yarra, Melbourne",$60.00
Parco Project x Shujinko,"Japanese, Italian",3.9,-37.8089689,144.9605877,Italian,normal,"427 Elizabeth Street, CBD, Melbourne",$25.00
48H Pizza & Gnocchi Bar,"Italian, Pizza",4.3,-37.8474635,144.9990945,Italian,normal,"373 Malvern Road, South Yarra, Melbourne",$40.00
