name,cuisine,overall_rating,latitude,longitude,feature,type
Mr Huang Jin,"Taiwanese, Asian, Chinese",4.2,-37.81983221,144.95644,Asian,normal
Gong De Lin,"Asian, Chinese, Vegetarian",4.1,-37.81188075,144.9651257,Asian,normal
Dainty Sichuan - Tina's Noodle Kitchen,Asian,3.6,-37.812406,144.9650174,Asian,normal
GJ's Grill,"Asian, Filipino",4.2,-37.80979561,144.9568222,Asian,normal
YOI,"Asian, Indonesian",4.1,-37.8088195,144.9593857,Asian,normal
Bangkok Jam,"Thai, Asian",4.1,-37.81139629,144.969274,Asian,normal
Grandma's Noodles,"Asian, Chinese",4,-37.81164183,144.9682518,Asian,normal
Shakahari Vegetarian,"Vegetarian, Fusion, Asian",4.4,-37.79887889,144.9679299,Asian,normal
Captain Melville,"Modern Australian, Fusion, Asian",4.3,-37.80767252,144.9616817,Asian,normal
Nam Loong Chinese Restaurant,"Asian, Chinese",4.2,-37.81139603,144.9673348,Asian,normal
Goldilocks Bar,"Asian, Bar Food",3.8,-37.81185427,144.9650972,Asian,normal
Wonder Bowl,"Asian, Chinese",4.1,-37.8107574,144.9639971,Asian,normal
By Korea,"Korean, Asian",4.1,-37.81210669,144.9656762,Asian,normal
RuYi Modern Chinese,"Chinese, Contemporary, Asian",4.1,-37.81121962,144.9714912,Asian,normal
Yang 89,"Korean, Korean BBQ, Asian, Chinese",4.2,-37.81566602,144.9552893,Asian,normal
Golden Monkey,"Asian, Chinese",4.2,-37.81296701,144.9609773,Asian,normal
Shanghai Dragon Dumpling House,"Asian, Chinese",4,-37.81248282,144.96783,Asian,normal
HongKongBoi,"Asian, Desserts, Ice Cream",3.9,-37.80874957,144.9593421,Asian,normal
Rice Paper Vietnamese Restaurant,"Asian, Vietnamese",3.8,-37.81227383,144.96496,Asian,normal
Tian 38,"Chinese, Asian",4,-37.81768293,144.9627127,Asian,normal
Seven Star Pocha,"Korean, Asian",3.6,-37.81343928,144.9558352,Asian,normal
Gyoza Gyoza - Emporium,"Asian, Japanese",4.2,-37.8127167,144.9639743,Asian,normal
Shophouse Kitchen,"Asian, Chinese",3,-37.81076932,144.9654817,Asian,normal
Your Thai Rice and Noodle Bar,"Thai, Asian",3.5,-37.81214722,144.9648947,Asian,normal
Co Hanh,"Vietnamese, Asian",3.9,-37.81772822,144.9625474,Asian,normal
Don Tojo,"Japanese, Asian",4.3,-37.80138927,144.9654988,Asian,normal
Qipo Skewer Bar,"Hot Pot, Chinese, Asian",4,-37.81142649,144.9610105,Asian,normal
Rising Embers by Dainty Sichuan,"Chinese, BBQ, Sichuan, Asian",4.1,-37.81170964,144.9683182,Asian,normal
New Quay Waterfront Buffet,"Asian, Seafood",3.8,-37.81397696,144.9441867,Asian,normal
Ants Bistro,"Asian, Chinese",4.3,-37.8113555,144.9683332,Asian,normal
