name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
Laksa King,"Malaysian, Chinese",4.6,-37.78779575,144.9294969,Chinese,normal,"6-12 Pin Oak Crescent, Flemington, Melbourne",$35.00
Noodle Express by Dainty Sichuan,"Chinese, Sichuan",4.1,-37.81276411,144.9637923,Chinese,normal,"Emporium Melbourne, Lower Ground, 287 Lonsdale Street, CBD, Melbourne",$20.00
Dainty Sichuan Food - Mini Hot Pot,"Sichuan, Chinese, Hot Pot",4,-37.81075766,144.9679487,Chinese,normal,"149-155 Lonsdale Street, CBD, Melbourne",$40.00
House of Delight,"Chinese, Yum Cha, Hot Pot",3.5,-37.81268386,144.9670139,Chinese,normal,"Village Centre Arcade, Level 1, 206 Bourke Street, CBD, Melbourne",$40.00
Ling Nan,Chinese,4.1,-37.81211384,144.9665653,Chinese,normal,"204 Little Bourke Street, CBD, Melbourne",$40.00
The Crane Restaurant,"Chinese, Sichuan, Dumplings",4.1,-37.81217159,144.9663645,Chinese,normal,"212A Little Bourke Street, CBD, Melbourne",$30.00
David's Spicy Pot - Elizabeth Street,"Chinese, Malatang",4.4,-37.80791755,144.9604298,Chinese,normal,"462 Elizabeth Street, CBD, Melbourne",$30.00
Shanghai Street Xiaolongbao & Dumpling,Chinese,4.1,-37.81160263,144.9683775,Chinese,normal,"146-148 Little Bourke Street, CBD, Melbourne",$25.00
Dainty Sichuan,"Chinese, Sichuan, Hot Pot",4.5,-37.83929234,144.9929998,Chinese,normal,"176 Toorak Road, South Yarra, Melbourne",$60.00
Plus 852 Cafe,"Chinese, Coffee and Tea",3.5,-37.8088497,144.9594196,Chinese,normal,"5A/155 Franklin Street, CBD, Melbourne",$25.00
Panda Hot Pot ,"Chinese, Hot Pot",4.3,-37.80671069,144.9642291,Chinese,normal,"100 Victoria Street, Carlton, Melbourne",$40.00
Bamboo House,Chinese,4.3,-37.81086123,144.9711412,Chinese,normal,"47 Little Bourke Street, CBD, Melbourne",$65.00
Nong Tang Noodle House,"Chinese, Shanghai, Dumplings",3.9,-37.81242613,144.9673378,Chinese,normal,"Midcity Arcade, Ground Level, Shop 16-17, 200 Bourke Street, CBD, Melbourne",$30.00
Xiao Jun Gan Hot Pot,"Chinese, Hot Pot",4.3,-37.8114935,144.9670243,Chinese,normal,"11 Waratah Place, CBD, Melbourne",$40.00
Shanghai Street on Bourke,"Chinese, Dumplings",4.1,-37.81429083,144.9627707,Chinese,normal,"Terrace, 360 Bourke Street, CBD, Melbourne",$40.00
"Shanghai Street Dumplings, Wontons and Noodle","Dumplings, Chinese",4.2,-37.80859487,144.9669948,Chinese,normal,"64 La Trobe Street, CBD, Melbourne",$20.00
